Date,ABBOTINDIA,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,ALKEM,AMBUJACEM,APOLLOHOSP,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALKRISIND,BANDHANBNK,BANKBARODA,BEL,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,FEDERALBNK,GAIL,GLAND,GODREJCP,GRASIM,HAL,HAVELLS,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IDFCFIRSTB,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,JUBLFOOD,KOTAKBANK,LT,LUPIN,M&M,MARICO,MARUTI,MOTHERSON,MRF,MUTHOOTFIN,NAUKRI,NESTLEIND,NMDC,NTPC,ONGC,PAGEIND,PETRONET,PIDILITIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,TVSMOTOR,ULTRACEMCO,UNITDSPR,VEDL,WIPRO,ZYDUSLIFE
2016-06-01,4141.927734375,1409.4271240234375,40.11269760131836,192.51927185058594,5.949999809265137,1173.9832763671875,200.0992431640625,1371.06640625,42.846656799316406,941.9635009765625,748.707275390625,499.5633544921875,2014.8211669921875,179.1644744873047,74.1796875,311.693359375,,122.12019348144531,29.144474029541016,161.017333984375,310.09735107421875,117.18405151367188,20071.58984375,88.97473907470703,1207.8638916015625,189.2953338623047,435.4070739746094,137.7201385498047,688.391845703125,262.41461181640625,1052.077392578125,123.261474609375,,595.2742919921875,1744.1683349609375,46.62867736816406,47.65325164794922,,454.3121643066406,634.7760620117188,,331.0704345703125,275.4001770019531,270.156982421875,,2241.958984375,96.74513244628906,727.44970703125,203.78707885742188,,,46.12783432006836,969.05712890625,1043.748779296875,480.21234130859375,36.737945556640625,161.6743927001953,123.4574203491211,98.97583770751953,148.105712890625,827.329345703125,1408.032958984375,608.8396606445312,218.36001586914062,3803.0771484375,31.777769088745117,32821.20703125,205.4698944091797,153.28977966308594,283.1379089355469,12.115849494934082,83.56009674072266,82.52689361572266,12901.712890625,93.88127899169922,341.7628479003906,71.16631317138672,52.93456268310547,208.95623779296875,34.9270133972168,,175.7705078125,12799.232421875,645.2246704101562,693.2926635742188,104.7200927734375,63.0720100402832,24.429157257080078,1027.703369140625,389.72918701171875,347.598388671875,604.4149169921875,273.6642761230469,3098.5390625,482.3135681152344,34.88117980957031,94.2929916381836,307.2943420410156
2016-06-02,4104.0595703125,1403.888916015625,40.326210021972656,195.279052734375,6.039999961853027,1190.298095703125,198.71536254882812,1359.3778076171875,43.297889709472656,944.1303100585938,748.7549438476562,511.6632995605469,2007.97314453125,184.42918395996094,77.30657196044922,308.3916320800781,,124.58460235595703,29.344810485839844,161.0738525390625,312.61566162109375,116.33126831054688,19898.205078125,90.41696166992188,1222.8907470703125,198.123779296875,438.4040832519531,142.4235382080078,699.6185302734375,270.7366638183594,1067.0302734375,123.77078247070312,,594.1336059570312,1752.892333984375,47.13203048706055,48.062625885009766,,472.0857849121094,632.6483764648438,,337.6611633300781,270.4510803222656,270.1109313964844,,2282.021240234375,99.51331329345703,738.5510864257812,204.8907012939453,,,45.64783477783203,958.6468505859375,1060.817626953125,481.4909973144531,36.69427490234375,160.1533966064453,123.86149597167969,99.50341796875,148.29449462890625,834.2188720703125,1393.9552001953125,608.611328125,216.10305786132812,3822.5244140625,31.57151985168457,32903.56640625,203.57830810546875,151.6317138671875,279.2059326171875,12.0808744430542,83.7623519897461,83.36920928955078,12856.80078125,94.72566223144531,341.19134521484375,71.8622055053711,53.3967170715332,209.53692626953125,35.21947479248047,,177.80970764160156,13197.8505859375,644.3483276367188,686.1257934570312,105.78458404541016,62.63851547241211,25.054317474365234,1034.181396484375,394.1676940917969,346.4373474121094,592.550048828125,280.9581298828125,3103.0498046875,487.9046325683594,35.44565200805664,91.89527130126953,299.31085205078125
2016-06-03,4017.65478515625,1398.169189453125,38.45801544189453,194.66049194335938,5.940000057220459,1238.6046142578125,197.76394653320312,1325.5242919921875,43.66707992553711,945.2827758789062,749.6090698242188,529.5206298828125,2042.2137451171875,184.86749267578125,76.67566680908203,311.1200866699219,,123.39640808105469,28.81182098388672,160.93255615234375,305.74359130859375,115.32268524169922,20073.892578125,91.2642593383789,1207.099365234375,195.48976135253906,435.6881103515625,143.16500854492188,702.5772094726562,276.7067565917969,1066.0955810546875,122.19647216796875,,590.9636840820312,1751.0423583984375,46.674434661865234,47.36540985107422,,480.42193603515625,629.3477783203125,,335.3404846191406,270.65740966796875,269.3753662109375,,2283.400146484375,99.04412841796875,752.7147827148438,206.9281463623047,,,45.45583724975586,939.482421875,1062.8505859375,483.53289794921875,37.034915924072266,158.31924438476562,123.04879760742188,97.51519775390625,152.86474609375,824.81640625,1370.09814453125,618.1746826171875,220.4867706298828,3851.10205078125,29.948707580566406,32905.5859375,211.14471435546875,151.05325317382812,279.3454284667969,12.612517356872559,85.29373168945312,82.99700927734375,12708.369140625,92.6750259399414,338.1435241699219,70.656005859375,53.46782302856445,210.28196716308594,34.75990295410156,,176.59707641601562,13080.609375,646.1807250976562,677.4888916015625,106.62731170654297,64.06902313232422,24.899864196777344,1026.142578125,398.17327880859375,343.82489013671875,612.886474609375,281.8580322265625,3061.105712890625,488.5509338378906,34.748355865478516,91.96330261230469,294.9268493652344
2016-06-06,4031.30029296875,1393.3572998046875,38.591461181640625,193.85157775878906,5.820000171661377,1244.2098388671875,197.9801788330078,1313.447509765625,43.195343017578125,946.2047119140625,739.5011596679688,519.9576416015625,2035.0948486328125,185.88357543945312,75.4579849243164,310.248779296875,,126.25688171386719,29.896703720092773,160.3675079345703,297.71905517578125,119.11102294921875,20003.8984375,90.96688842773438,1211.68603515625,194.10032653808594,437.04608154296875,141.70530700683594,692.8499755859375,274.3097229003906,1067.3106689453125,122.61321258544922,,589.2993774414062,1770.4241943359375,49.05391311645508,47.90271759033203,,465.8297424316406,629.3333129882812,,334.18011474609375,271.66961669921875,269.2259216308594,,2259.486328125,100.26398468017578,748.0361328125,206.71591186523438,,,44.25584030151367,965.129638671875,1060.770263671875,483.4756164550781,36.537044525146484,159.07972717285156,122.97696685791016,97.42727661132812,152.0599822998047,829.1080932617188,1341.0445556640625,625.250244140625,222.43988037109375,3781.758544921875,30.442607879638672,32742.896484375,228.12709045410156,150.72547912597656,287.06317138671875,12.619511604309082,85.0047836303711,82.58566284179688,12559.17578125,93.0196762084961,338.0482177734375,71.4446792602539,53.05897903442383,209.21922302246094,34.55101013183594,,178.6630401611328,13346.708984375,641.4273071289062,665.59033203125,105.82894897460938,64.3291015625,24.848379135131836,1030.065673828125,389.44036865234375,341.55108642578125,608.3624267578125,279.2530822753906,3097.626953125,484.5461120605469,35.279624938964844,90.99400329589844,298.387939453125
2016-06-07,4008.6318359375,1398.57763671875,38.85834503173828,196.5161895751953,5.989999771118164,1239.7891845703125,202.60748291015625,1309.1798095703125,43.56452941894531,952.1513671875,732.1453247070312,521.4701538085938,2043.4132080078125,186.95445251464844,74.614990234375,310.89080810546875,,127.9731674194336,30.677932739257812,160.50877380371094,298.060546875,118.74202728271484,20154.029296875,89.32002258300781,1220.99072265625,192.3732147216797,438.63824462890625,142.63209533691406,693.1744384765625,278.24456787109375,1073.10498046875,125.29885864257812,,590.1878051757812,1754.8682861328125,51.84523391723633,47.90271759033203,,472.4374694824219,630.5427856445312,,334.31939697265625,272.45697021484375,269.8236389160156,,2271.425048828125,102.75065612792969,763.0927734375,215.71463012695312,,,44.20784378051758,953.0631713867188,1049.564453125,479.90704345703125,36.58509063720703,162.2783203125,123.66844177246094,98.26261138916016,153.4111785888672,840.2329711914062,1355.689453125,629.0162963867188,222.04928588867188,3775.9599609375,31.164461135864258,32497.888671875,229.59832763671875,153.2320098876953,285.771728515625,12.794397354125977,85.784912109375,83.4279556274414,12589.6748046875,94.07083129882812,338.2624816894531,72.04778289794922,53.29005813598633,209.2740020751953,35.01057815551758,,188.7684326171875,13467.9404296875,640.7899780273438,678.8212280273438,105.87329864501953,63.72223663330078,25.197738647460938,1037.419189453125,387.05877685546875,348.90460205078125,610.0479125976562,278.35321044921875,3200.951416015625,482.6464538574219,36.5413932800293,91.8017349243164,294.69610595703125
2016-06-08,3997.03076171875,1404.29736328125,39.97925567626953,193.5660858154297,6.139999866485596,1278.25244140625,206.02394104003906,1319.9951171875,43.37993621826172,938.5985107421875,733.2843017578125,525.9589233398438,2036.9134521484375,185.30580139160156,75.20417785644531,311.3265686035156,,130.217529296875,32.48858642578125,160.70657348632812,301.0483703613281,120.04580688476562,20051.5390625,89.67684936523438,1210.1790771484375,195.15203857421875,442.1971435546875,142.16871643066406,700.9153442382812,278.2897644042969,1063.058349609375,126.59537506103516,,586.8215942382812,1754.5419921875,53.03497314453125,47.9347038269043,,468.185302734375,631.2931518554688,,336.68646240234375,278.75567626953125,267.27178955078125,,2300.74609375,102.60989379882812,763.2205200195312,218.7283477783203,,,45.35983657836914,939.293212890625,1053.0633544921875,472.5407409667969,36.25754165649414,162.3007049560547,125.28033447265625,103.46029663085938,150.88763427734375,853.3906860351562,1351.8631591796875,632.8280639648438,223.26455688476562,3798.283935546875,31.52810287475586,32102.91015625,229.8085174560547,155.79627990722656,287.129638671875,12.668478965759277,85.6115493774414,84.5249252319336,12448.9912109375,94.0536117553711,335.548095703125,74.87772369384766,54.232139587402344,209.0658416748047,35.0941276550293,,189.26248168945312,13466.3056640625,667.3721923828125,678.0860595703125,110.35305786132812,65.41282653808594,25.116832733154297,1030.3018798828125,386.589599609375,350.3076171875,619.872314453125,274.4220886230469,3235.88916015625,478.3185119628906,37.18886947631836,92.6094741821289,294.5115661621094
2016-06-09,3976.09716796875,1391.813720703125,39.87250518798828,192.13861083984375,5.989999771118164,1258.5650634765625,200.57496643066406,1346.9132080078125,43.933719635009766,920.8509521484375,715.23486328125,529.4717407226562,2005.9613037109375,183.32843017578125,74.92268371582031,309.9508056640625,,131.18569946289062,31.79431915283203,160.02847290039062,299.8531799316406,118.25823974609375,19725.83203125,91.25969696044922,1206.1820068359375,191.76535034179688,448.7062683105469,145.04176330566406,693.7013549804688,274.40020751953125,1040.62890625,126.08602905273438,,574.2920532226562,1732.12158203125,53.40104675292969,48.0946044921875,,464.2390441894531,627.3075561523438,,331.6737365722656,282.3362731933594,266.5361328125,,2240.21728515625,104.06436920166016,745.5691528320312,216.0966339111328,,,45.45583724975586,950.7444458007812,1061.0064697265625,457.7335205078125,36.28373718261719,158.40869140625,127.19757843017578,103.65570068359375,149.576171875,842.2376708984375,1348.46142578125,626.9392700195312,217.44854736328125,3806.546875,31.435832977294922,32038.134765625,214.84384155273438,157.65684509277344,284.9211120605469,12.745427131652832,87.28736877441406,86.44461059570312,12599.763671875,94.60503387451172,334.428955078125,76.36229705810547,54.32102966308594,212.8018798828125,37.684410095214844,,188.58877563476562,12939.5390625,663.3091430664062,682.4046630859375,110.84095001220703,65.58621215820312,25.157285690307617,1016.1669311523438,385.7236328125,352.8232421875,606.8986206054688,274.61151123046875,3243.903076171875,482.4898376464844,37.45451736450195,92.64350128173828,294.0039367675781
2016-06-10,3955.739990234375,1412.3779296875,39.84581756591797,192.94749450683594,5.940000057220459,1266.8135986328125,203.51565551757812,1314.660400390625,43.174827575683594,914.6275024414062,705.925048828125,527.9592895507812,1996.3660888671875,180.5192413330078,73.72590637207031,311.922607421875,,128.7653045654297,31.89637565612793,160.81954956054688,299.72515869140625,116.99544525146484,19447.900390625,90.28985595703125,1192.20361328125,188.97691345214844,446.22442626953125,142.09918212890625,706.8733520507812,272.7718811035156,1049.787841796875,124.18758392333984,,573.3289184570312,1735.490966796875,53.4925651550293,47.19911575317383,,460.5833740234375,628.2474975585938,,328.9817810058594,281.5864562988281,266.98443603515625,,2227.734130859375,108.19315338134766,744.0380859375,214.44122314453125,,,45.45583724975586,944.7821655273438,1049.564453125,455.84149169921875,35.816444396972656,156.88768005371094,127.39962005615234,99.77698516845703,149.1688232421875,840.1201171875,1358.1458740234375,628.0576782226562,220.05271911621094,3753.910888671875,31.34356689453125,31694.1953125,215.0540008544922,156.2203826904297,289.9318542480469,12.822375297546387,87.54742431640625,85.48475646972656,12331.7802734375,95.12202453613281,331.54779052734375,78.12521362304688,54.889835357666016,214.01800537109375,37.684410095214844,,184.9957275390625,13052.50390625,660.4943237304688,681.210205078125,109.6877670288086,66.06304168701172,24.594636917114258,1007.689697265625,387.9608459472656,350.2591857910156,599.0035400390625,271.5802917480469,3248.654296875,475.49847412109375,38.78267288208008,92.73702239990234,293.311767578125
2016-06-13,3956.18505859375,1404.3426513671875,38.85834503173828,192.8047637939453,5.880000114440918,1266.6312255859375,205.28878784179688,1279.1575927734375,43.174827575683594,917.2552490234375,711.6724243164062,518.2988891601562,1999.3070068359375,176.50474548339844,72.80331420898438,310.5698547363281,,128.5892791748047,31.397401809692383,162.54302978515625,292.2982482910156,117.62684631347656,19543.361328125,92.2844009399414,1169.9039306640625,185.1367950439453,438.9660339355469,142.95648193359375,699.4563598632812,274.4906311035156,1048.57275390625,120.76105499267578,,577.5272827148438,1719.4132080078125,51.982505798339844,47.51893615722656,,454.4651184082031,628.349609375,,333.0198059082031,282.56121826171875,265.0418701171875,,2203.74755859375,107.63013458251953,743.6552124023438,206.9281463623047,,,45.119842529296875,927.5578002929688,1048.1932373046875,455.9573669433594,36.344879150390625,156.52981567382812,125.74278259277344,101.51605224609375,150.2020721435547,827.9505004882812,1372.4127197265625,619.612548828125,219.4016876220703,3775.13818359375,31.077619552612305,31483.138671875,218.87924194335938,152.43182373046875,289.6593933105469,12.626510620117188,85.95826721191406,83.54550170898438,12247.361328125,94.53609466552734,333.0954895019531,77.01179504394531,53.96552658081055,214.98216247558594,36.68172836303711,,181.26800537109375,13012.57421875,660.9458618164062,685.8502197265625,113.67961883544922,65.58621215820312,23.763540267944336,1004.2400512695312,385.470947265625,352.38787841796875,592.7054443359375,272.669677734375,3261.3720703125,477.73101806640625,37.836360931396484,92.03130340576172,294.69610595703125
2016-06-14,3948.5400390625,1398.1236572265625,42.08763885498047,198.51467895507812,6.010000228881836,1246.57958984375,202.3048095703125,1285.9476318359375,43.07227325439453,909.5106811523438,712.669921875,516.835205078125,1981.5091552734375,186.6705322265625,72.7188720703125,308.91900634765625,,130.96566772460938,31.33188247680664,165.7639617919922,292.5115966796875,117.06105041503906,19745.28515625,90.68328094482422,1171.1923828125,183.23602294921875,452.077880859375,143.11866760253906,697.673095703125,278.5158996582031,1042.0775146484375,122.75212860107422,,579.2197265625,1747.9337158203125,53.4925651550293,47.730010986328125,,454.8934020996094,622.491455078125,,333.9016418457031,282.0925598144531,264.8004455566406,,2181.50244140625,108.47465515136719,736.4244384765625,207.9468994140625,,,45.31184005737305,937.2584228515625,1056.0418701171875,453.679443359375,36.165828704833984,158.05087280273438,126.27264404296875,102.36116790771484,149.4469757080078,824.7882080078125,1370.8538818359375,618.8138427734375,219.48849487304688,3747.519287109375,31.511816024780273,31424.62109375,225.5629119873047,151.940185546875,291.9211120605469,12.738431930541992,85.6693344116211,83.36920928955078,12157.177734375,96.46610260009766,329.8095397949219,83.41397857666016,53.52113342285156,213.91940307617188,37.64263153076172,,186.56768798828125,12973.4140625,662.432861328125,692.5115966796875,112.2159423828125,65.58621215820312,23.89960479736328,999.449462890625,384.8935852050781,355.1454162597656,594.302001953125,274.94305419921875,3188.426025390625,475.82159423828125,38.10200119018555,92.35441589355469,294.3269348144531
