strategy,ann_return_net,ann_vol_net,sharpe_net,sharpe_gross,cost_drag_sharpe,sortino_net,max_dd_net,calmar_net,alpha_ann,beta,info_ratio,avg_turnover,total_cost
momentum,0.023976814985871453,0.15568355944447482,0.23029524004829274,0.2985211798821188,0.06822593983382605,0.1470560197447797,-0.4139485007698399,0.05792221723543054,0.06852198392888298,-0.2271563903045081,0.45373423877754565,0.4452262234533703,0.08459298245614036
low_vol,-0.11293377155023787,0.21129416174986795,-0.45669185017519054,-0.43598685575837876,0.020704994416811784,-0.5130897050257044,-0.6901159564467632,-0.16364463173943405,0.006241045997305272,-0.7143650426192869,0.035740156384054415,0.1831732840874115,0.03480292397660819
value,-0.017909995676063217,0.15422305660320437,-0.04044113189948771,-0.0013091793314713722,0.03913195256801634,-0.11574267639125498,-0.5116596344772584,-0.03500372995880577,0.011001879236472958,-0.1198670047346431,0.07194260441128242,0.2514601777922619,0.04777743378052977
composite,-0.08136034625436206,0.20045499488097213,-0.31922305974020576,-0.27060736689194054,0.048615692848265224,-0.37303320228420467,-0.60918205212719,-0.1335567027463491,0.030979993133696565,-0.6603550630730026,0.18484679523741532,0.40552785472453057,0.07705029239766083
composite_hedged,-0.02260225141508887,0.1632370223326679,-0.056931112655323184,,,-0.12626090327057118,-0.46324174371510496,-0.04879148246404435,0.007141961480687487,-0.11427927104762542,0.04405249501907945,0.40552785472453057,0.08547619665922279
benchmark_N100,0.13767074190049144,0.16652915767460863,0.8636105804798273,0.8636105804798273,0.0,0.8047834713440105,-0.2882842908744474,0.47755200771744216,0.0,1.0,,,
